symbol;available_exchanges;currency_base;currency_quote
"LRC/EUR";"[""Kraken""]";"Loopring";"Euro"
"LRC/KRW";"[""Bithumb""]";"Loopring";"Korean Won"
"LRC/TRY";"[""Paribu""]";"Loopring";"Turkish Lira"
"LRC/USD";"[""Binance"",""Gate.io"",""OKEx""]";"Loopring";"US Dollar"
"LSK/AUD";"[""Synthetic""]";"Lisk";"Australian Dollar"
"LSK/BTC";"[""Binance"",""HitBTC""]";"Lisk";"Bitcoin"
"LSK/CAD";"[""Synthetic""]";"Lisk";"Canadian Dollar"
"LSK/CNY";"[""Synthetic""]";"Lisk";"Chinese Yuan"
"LSK/ETH";"[""Binance""]";"Lisk";"Ethereum"
"LSK/EUR";"[""BitBay""]";"Lisk";"Euro"
"LSK/HKD";"[""Synthetic""]";"Lisk";"Hong Kong Dollar"
"LSK/ILS";"[""Synthetic""]";"Lisk";"Israeli Shekel"
"LSK/INR";"[""Synthetic""]";"Lisk";"Indian Rupee"
"LSK/KRW";"[""Synthetic"",""Upbit""]";"Lisk";"Korean Won"
"LSK/MXN";"[""Synthetic""]";"Lisk";"Mexican Peso"
"LSK/MYR";"[""Synthetic""]";"Lisk";"Malaysian Ringgit"
"LSK/PLN";"[""BitBay"",""Synthetic""]";"Lisk";"Polish Zloty"
"LSK/RUB";"[""Synthetic""]";"Lisk";"Russian Ruble"
"LSK/SAR";"[""Synthetic""]";"Lisk";"Saudi Riyal"
"LSK/SEK";"[""Synthetic""]";"Lisk";"Swedish Krona"
"LSK/TRY";"[""Synthetic""]";"Lisk";"Turkish Lira"
"LSK/USD";"[""Binance"",""Gate.io""]";"Lisk";"US Dollar"
"LSK/VND";"[""Synthetic""]";"Lisk";"Vietnamese Dong"
"LSK/ZAR";"[""Synthetic""]";"Lisk";"South African Rand"
"LTB/BTC";"[""FreiExchange""]";"LiteBar";"Bitcoin"
"LTB/USD";"[""Synthetic""]";"LiteBar";"US Dollar"
"LTC/AUD";"[""BTC Markets"",""Synthetic""]";"Litecoin";"Australian Dollar"
"LTC/BCH";"[""CoinEx""]";"Litecoin";"Bitcoin Cash"
"LTC/BNB";"[""Binance""]";"Litecoin";"Binance Coin"
"LTC/BRL";"[""Binance"",""MercadoBitcoin"",""NovaDAX""]";"Litecoin";"Brazil Real"
"LTC/BTC";"[""HitBTC"",""OKEx""]";"Litecoin";"Bitcoin"
"LTC/CAD";"[""Synthetic""]";"Litecoin";"Canadian Dollar"
"LTC/CNY";"[""Synthetic""]";"Litecoin";"Chinese Yuan"
"LTC/EOS";"[""HitBTC""]";"Litecoin";"EOS"
"LTC/ETH";"[""Bibox"",""Binance"",""p2pb2b""]";"Litecoin";"Ethereum"
"LTC/EUR";"[""BitStamp"",""Coinbase Pro""]";"Litecoin";"Euro"
"LTC/GBP";"[""Coinbase Pro""]";"Litecoin";"British Pound"
"LTC/HKD";"[""Synthetic""]";"Litecoin";"Hong Kong Dollar"
"LTC/IDR";"[""BTC Indonesia""]";"Litecoin";"Indonesian Rupiah"
"LTC/ILS";"[""Synthetic""]";"Litecoin";"Israeli Shekel"
"LTC/INR";"[""Bitbns"",""Synthetic""]";"Litecoin";"Indian Rupee"
"LTC/JPY";"[""Bitbank""]";"Litecoin";"Japanese Yen"
"LTC/KRW";"[""Bithumb"",""Upbit""]";"Litecoin";"Korean Won"
"LTC/MXN";"[""Synthetic""]";"Litecoin";"Mexican Peso"
"LTC/MYR";"[""Luno"",""Synthetic""]";"Litecoin";"Malaysian Ringgit"
"LTC/NGN";"[""Luno""]";"Litecoin";"Nigerian Naira"
"LTC/PLN";"[""BitBay"",""Synthetic""]";"Litecoin";"Polish Zloty"
"LTCR/BTC";"[""YoBit""]";"Litecred";"Bitcoin"
"LTC/RUB";"[""Exmo"",""Synthetic""]";"Litecoin";"Russian Ruble"
"LTCR/USD";"[""Synthetic""]";"Litecred";"US Dollar"
"LTC/SAR";"[""Synthetic""]";"Litecoin";"Saudi Riyal"
"LTC/SEK";"[""Synthetic""]";"Litecoin";"Swedish Krona"
"LTC/THB";"[""Bitkub""]";"Litecoin";"Thai Baht"
"LTC/TRY";"[""Bitexen"",""BTCTurk"",""Paribu"",""Synthetic""]";"Litecoin";"Turkish Lira"
"LTCU/BTC";"[""YoBit""]";"LiteCoin Ultra";"Bitcoin"
"LTC/USD";"[""Binance"",""Coinbene""]";"Litecoin";"US Dollar"
"LTCU/USD";"[""Synthetic""]";"LiteCoin Ultra";"US Dollar"
"LTC/VND";"[""Synthetic""]";"Litecoin";"Vietnamese Dong"
"LTC/ZAR";"[""Luno"",""Synthetic""]";"Litecoin";"South African Rand"
"LTG/USD";"[""Synthetic""]";"LiteCoin Gold";"US Dollar"
"LTH/USD";"[""Synthetic""]";"LAthaan";"US Dollar"
"LUNA/BTC";"[""YoBit""]";"Luna Coin";"Bitcoin"
"LUNAt/BRL";"[""Synthetic""]";"Terra";"Brazil Real"
"LUNAt/BTC";"[""Binance"",""Huobi""]";"Terra";"Bitcoin"
"LUNAt/CAD";"[""Synthetic""]";"Terra";"Canadian Dollar"
"LUNAt/EUR";"[""Binance""]";"Terra";"Euro"
"LUNAt/INR";"[""Bitbns""]";"Terra";"Indian Rupee"
"LUNAt/TRY";"[""Binance""]";"Terra";"Turkish Lira"
"LUNAt/USD";"[""Binance"",""Huobi""]";"Terra";"US Dollar"
"LUNA/USD";"[""Synthetic""]";"Luna Coin";"US Dollar"
"LUN/BTC";"[""Huobi""]";"Lunyr";"Bitcoin"
"LUNC/BRL";"[""Synthetic""]";"Terra Classic";"Brazil Real"
"LUNC/CAD";"[""Synthetic""]";"Terra Classic";"Canadian Dollar"
"LUNC/USD";"[""Gate.io"",""Huobi"",""Kucoin""]";"Terra Classic";"US Dollar"
"LUN/ETH";"[""YoBit""]";"Lunyr";"Ethereum"
"LUN/USD";"[""Synthetic""]";"Lunyr";"US Dollar"
"LUSD/USD";"[""Uniswap""]";"Liquidity USD";"US Dollar"
"LUX/BTC";"[""TradeOgre""]";"LUXCoin";"Bitcoin"
"LUX/USD";"[""Synthetic""]";"LUXCoin";"US Dollar"
"LVPS/USD";"[""Synthetic""]";"LevoPlus";"US Dollar"
"LYL/BTC";"[""ProBit Exchange""]";"LoyalCoin";"Bitcoin"
"LYL/USD";"[""Synthetic""]";"LoyalCoin";"US Dollar"
"LYM/BTC";"[""Huobi"",""Kucoin""]";"Lympo";"Bitcoin"
"LYM/ETH";"[""Huobi"",""Kucoin""]";"Lympo";"Ethereum"
"LYM/USD";"[""Gate.io"",""Kucoin""]";"Lympo";"US Dollar"
"MAC/USD";"[""Synthetic""]";"Machinecoin";"US Dollar"
"MAGN/USD";"[""Synthetic""]";"Magnetcoin";"US Dollar"
"MAGT/USD";"[""Synthetic""]";"Magnet";"US Dollar"
"MAID/BTC";"[""Bittrex"",""HitBTC""]";"MaidSafeCoin";"Bitcoin"
"MAID/ETH";"[""HitBTC""]";"MaidSafeCoin";"Ethereum"
"MAID/USD";"[""HitBTC""]";"MaidSafeCoin";"US Dollar"
"MANA/BRL";"[""NovaDAX""]";"Decentraland";"Brazil Real"
"MANA/BTC";"[""Binance"",""OKEx""]";"Decentraland";"Bitcoin"
"MANA/CAD";"[""Synthetic""]";"Decentraland";"Canadian Dollar"
"MANA/ETH";"[""Binance"",""Huobi"",""OKEx""]";"Decentraland";"Ethereum"
"MANA/EUR";"[""Coinbase Pro"",""Kraken""]";"Decentraland";"Euro"
"MANA/INR";"[""Bitbns""]";"Decentraland";"Indian Rupee"
"MANA/TRY";"[""Binance""]";"Decentraland";"Turkish Lira"
"MANA/USD";"[""Binance"",""Gate.io"",""OKEx""]";"Decentraland";"US Dollar"
"MAN/BTC";"[""Huobi"",""Kucoin""]";"Matrix AI Network";"Bitcoin"
"MAN/ETH";"[""Huobi""]";"Matrix AI Network";"Ethereum"
"Manna/USD";"[""Kraken""]";"Manna";"US Dollar"
"MAN/USD";"[""Synthetic""]";"Martix AI Network";"US Dollar"
"MAO/BTC";"[""YoBit""]";"Mao Zedong";"Bitcoin"
"MAO/USD";"[""Synthetic""]";"Mao Zedong";"US Dollar"
"MARc/BTC";"[""Crex24""]";"Mchain";"Bitcoin"
"MARc/ETH";"[""Crex24""]";"Mchain";"Ethereum"
"MARc/USD";"[""Synthetic""]";"Mchain";"US Dollar"
"MARO/USD";"[""Bibox""]";"Maro";"US Dollar"
"MARS/USD";"[""Synthetic""]";"Marscoin";"US Dollar"
"MARX/USD";"[""Synthetic""]";"MarxCoin";"US Dollar"
"MASK/USD";"[""Binance"",""Coinbase Pro"",""Gate.io""]";"Mask Network";"US Dollar"
"MATIC/BNB";"[""Binance""]";"Polygon";"Binance Coin"
"MATIC/BRL";"[""Binance""]";"Polygon";"Brazil Real"
"MATIC/BTC";"[""Binance""]";"Polygon";"Bitcoin"
"MATIC/CAD";"[""Synthetic""]";"Polygon";"Canadian Dollar"
"MATIC/EUR";"[""Binance"",""Kraken""]";"Polygon";"Euro"
"MATIC/INR";"[""Bitbns""]";"Polygon";"Indian Rupee"
"MATIC/TRY";"[""BTCTurk""]";"Polygon";"Turkish Lira"
"MATIC/USD";"[""Binance"",""Dcoin""]";"Polygon";"US Dollar"
"MAVRO/BTC";"[""YoBit""]";"Mavro";"Bitcoin"
"MAVRO/USD";"[""Synthetic""]";"Mavro";"US Dollar"
"MAX/BTC";"[""YoBit""]";"MaxCoin";"Bitcoin"
"MAX/USD";"[""Synthetic""]";"MaxCoin";"US Dollar"
"MAY/USD";"[""Synthetic""]";"Theresa May Coin";"US Dollar"
"MAZA/USD";"[""Synthetic""]";"MazaCoin";"US Dollar"
"MBOX/BTC";"[""Binance""]";"MOBOX";"Bitcoin"
"MBOX/BUSD";"[""Binance""]";"MOBOX";"Binance USD"
"MBOX/USD";"[""Binance""]";"MOBOX";"US Dollar"
"MBRS/USD";"[""Synthetic""]";"Embers";"US Dollar"
"MCAP/USD";"[""Synthetic""]";"MCAP";"US Dollar"
"MCI/USD";"[""Synthetic""]";"Musiconomi";"US Dollar"
"MCO/USD";"[""OKEx"",""YoBit""]";"Crypto.com";"US Dollar"
"MCR/BTC";"[""Livecoin""]";"Macro";"Bitcoin"
"MCR/USD";"[""Synthetic""]";"Macro";"US Dollar"
"MDA/BTC";"[""Binance""]";"Moeda Loyalty Points";"Bitcoin"
"MDA/ETH";"[""Gate.io""]";"Moeda Loyalty Points";"Ethereum"
"MDA/USD";"[""Gate.io""]";"Moeda Loyalty Points";"US Dollar"
"MDS/BTC";"[""Huobi""]";"MediShares";"Bitcoin"
"MDS/ETH";"[""Gate.io"",""Huobi""]";"MediShares";"Ethereum"
"MDS/USD";"[""Gate.io""]";"MediShares";"US Dollar"
"MDT/BTC";"[""Gate.io""]";"Measurable Data Token ";"Bitcoin"
"MDT/ETH";"[""Gate.io""]";"Measurable Data Token";"Ethereum"
"MDT/USD";"[""Gate.io"",""OKEx""]";"Measurable Data Token";"US Dollar"
"MDX/USD";"[""Binance"",""Huobi""]";"Mdex";"US Dollar"
"MEC/BTC";"[""Crex24""]";"Megacoin";"Bitcoin"
"MEC/USD";"[""Synthetic""]";"Megacoin";"US Dollar"
"MED/USD";"[""Gate.io""]";"Medibloc";"US Dollar"
"MEDX/BTC";"[""Kryptono""]";"MediBloc [ERC20]";"Bitcoin"
"MEDX/USD";"[""Synthetic""]";"MediBloc [ERC20]";"US Dollar"
"MER/BTC";"[""Bittrex""]";"Mercury";"Bitcoin"
"MERI/BTC";"[""Crex24""]";"Merebel";"Bitcoin"
"MERI/USD";"[""Synthetic""]";"Merebel";"US Dollar"
"MER/USD";"[""Synthetic""]";"Mercury";"US Dollar"
"METAL/BTC";"[""YoBit""]";"MetalCoin";"Bitcoin"
"METAL/USD";"[""Synthetic""]";"MetalCoin";"US Dollar"
"MET/BTC";"[""Hotbit""]";"Metronome";"Bitcoin"
"MET/ETH";"[""Hotbit""]";"Metronome";"Ethereum"
"METIS/ETH";"[""Gate.io""]";"MetisDAO";"Ethereum"
"METIS/USD";"[""Gate.io""]";"MetisDAO";"US Dollar"
"MET/USD";"[""Gate.io"",""Synthetic""]";"Metronome";"US Dollar"
"MEXC/BTC";"[""Bilaxy""]";"MEXC Token";"Bitcoin"
"MEXC/USD";"[""Synthetic""]";"MEXC Token";"US Dollar"
"MFT/BNB";"[""Binance""]";"Mainframe";"Binance Coin"
"MFT/BTC";"[""Bittrex""]";"Mainframe";"Bitcoin"
"MFT/ETH";"[""Binance""]";"Mainframe";"Ethereum"
"MFT/KRW";"[""Upbit""]";"Mainframe";"Korean Won"
"MFT/USD";"[""Binance"",""Synthetic""]";"Mainframe";"US Dollar"
"MGC/USD";"[""Synthetic""]";"MergeCoin";"US Dollar"
"MGM/USD";"[""Synthetic""]";"Magnum";"US Dollar"
"MGO/USD";"[""BitForex""]";"MobileGo";"US Dollar"
"MHC/BTC";"[""BitForex"",""Kucoin""]";"#MetaHash";"Bitcoin"
"MHC/ETH";"[""CEX.IO"",""Kucoin""]";"#MetaHash";"Ethereum"
"MHC/EUR";"[""CEX.IO""]";"#MetaHash";"Euro"
"MHC/GBP";"[""CEX.IO""]";"#MetaHash";"British Pound"
"MHC/USD";"[""CEX.IO"",""Kucoin""]";"#MetaHash";"US Dollar"
"MIC/USD";"[""Synthetic""]";"Mindexcoin";"US Dollar"
"MILO/BTC";"[""YoBit""]";"MiloCoin";"Bitcoin"
"MILO/USD";"[""Synthetic""]";"MiloCoin";"US Dollar"
"MINA/BTC";"[""Binance""]";"Mina";"Bitcoin"
"MINA/USD";"[""Binance""]";"Mina";"US Dollar"
"MIN/BTC";"[""CoinTiger""]";"MINDOL";"Bitcoin"
"MINEX/USD";"[""Synthetic""]";"Minex";"US Dollar"
"MINTME/USD";"[""Synthetic""]";"MintMe.com Coin";"US Dollar"
"MIN/USD";"[""Synthetic""]";"MINDOL";"US Dollar"
"MITH/BNB";"[""Binance""]";"Mithril";"Binance Coin"
"MITH/BTC";"[""Binance"",""OKEx""]";"Mithril";"Bitcoin"
"MITH/ETH";"[""Gate.io"",""HitBTC""]";"Mithril";"Ethereum"
"MITH/USD";"[""Binance"",""OKEx""]";"Mithril";"US Dollar"
"MKR/BTC";"[""Binance""]";"Maker";"Bitcoin"
"MKR/ETH";"[""Bibox"",""Gate.io""]";"Maker";"Ethereum"
"MKR/INR";"[""Bitbns""]";"Maker";"Indian Rupee"
"MKR/TRY";"[""Paribu""]";"Maker";"Turkish Lira"
"MKR/USD";"[""HitBTC"",""OKEx""]";"Maker";"US Dollar"
"MLN/BTC";"[""Kraken""]";"Melon";"Bitcoin"
"MLN/ETH";"[""Kraken""]";"Melon";"Ethereum"
"MLN/USD";"[""Ethfinex""]";"Melon";"US Dollar"
"MM/KRW";"[""Bithumb""]";"MilliMeter";"Korean Won"
"MM/USD";"[""Synthetic""]";"MilliMeter";"US Dollar"
"MMXVI/USD";"[""Synthetic""]";"MMXVI";"US Dollar"
"MND/BTC";"[""YoBit""]";"MindCoin";"Bitcoin"
"MND/USD";"[""Synthetic""]";"MindCoin";"US Dollar"
"MNM/USD";"[""Synthetic""]";"Mineum";"US Dollar"
"MNTP/BTC";"[""YoBit""]";"GoldMint";"Bitcoin"
"MNTP/ETH";"[""YoBit""]";"GoldMint";"Ethereum"
"MNTP/USD";"[""Synthetic"",""YoBit""]";"GoldMint";"US Dollar"
"MNT/USD";"[""Gate.io""]";"Mantle";"US Dollar"
"MNX/USD";"[""Livecoin""]";"MinexCoin";"US Dollar"
"MOAC/ETH";"[""TOKOK""]";"MOAC";"Ethereum"
"MOAC/USD";"[""Coinbene""]";"MOAC";"US Dollar"
"MOB/BTC";"[""Binance""]";"MobileCoin";"Bitcoin"
"MOBI/USD";"[""Gate.io""]";"Mobius";"US Dollar"
"MOB/USD";"[""Binance""]";"MobileCoin";"US Dollar"
"MOIN/BTC";"[""Livecoin""]";"Moin";"Bitcoin"
"MOIN/USD";"[""Synthetic""]";"Moin";"US Dollar"
"MOJO/BTC";"[""YoBit""]";"MojoCoin";"Bitcoin"
"MOJO/USD";"[""Synthetic""]";"MojoCoin";"US Dollar"
"MONA/BTC";"[""Bitbank"",""Bittrex""]";"MonaCoin";"Bitcoin"
"MONA/JPY";"[""Bitbank"",""Zaif""]";"MonaCoin";"Japanese Yen"
"MONA/USD";"[""Synthetic""]";"MonaCoin";"US Dollar"
"MONETA/BTC";"[""YoBit""]";"Moneta";"Bitcoin"
"MONETA/USD";"[""Synthetic""]";"Moneta";"US Dollar"
"MONEY/USD";"[""Synthetic""]";"MoneyCoin";"US Dollar"
"MONK/BTC";"[""Crex24""]";"Monkey Project";"Bitcoin"
"MONK/USD";"[""Synthetic""]";"Monkey Project";"US Dollar"
"MOTO/BTC";"[""YoBit""]";"Motocoin";"Bitcoin"
"MOTO/USD";"[""Synthetic""]";"Motocoin";"US Dollar"
"MOVR/USD";"[""Gate.io"",""Kucoin""]";"Moonriver";"US Dollar"
"MPL/USD";"[""Coinbase Pro"",""Gate.io""]";"Maple";"US Dollar"
"MRJA/USD";"[""Synthetic""]";"GanjaCoin";"US Dollar"
"MRT/USD";"[""Synthetic""]";"Miners Reward Token";"US Dollar"
"MRT/WAVES";"[""Waves Decentralized Exchange""]";"Miners' Reward Token";"Waves"
"MSP/USD";"[""Synthetic""]";"Mothership";"US Dollar"
"MST/BTC";"[""YoBit""]";"MustangCoin";"Bitcoin"
"MST/USD";"[""Synthetic""]";"MustangCoin";"US Dollar"
"MTC/ETH";"[""Kucoin"",""YoBit""]";"doc.com Token";"Ethereum"
"MTC/USD";"[""Synthetic""]";"doc.com Token";"US Dollar"
"MTH/BTC";"[""Binance"",""HitBTC""]";"Monetha";"Bitcoin"
"MTH/ETH";"[""Mercatox""]";"Monetha";"Ethereum"
"MTH/USD";"[""Synthetic""]";"Monetha";"US Dollar"
"MTL/BTC";"[""Binance"",""Huobi""]";"Metal";"Bitcoin"
"MTL/ETH";"[""Binance"",""Exrates""]";"Metal";"Ethereum"
"MTL/KRW";"[""Bithumb"",""Upbit""]";"Metal";"Korean Won"
"MTLMC3/USD";"[""Synthetic""]";"Metal Music Coin";"US Dollar"
"MTL/USD";"[""Binance"",""Synthetic""]";"Metal";"US Dollar"
"MTN/BTC";"[""Huobi""]";"Medicalchain";"Bitcoin"
"MTNC/USD";"[""Synthetic""]";"Masternodecoin";"US Dollar"
"MTN/ETH";"[""Gate.io""]";"Medicalchain";"Ethereum"
"MTN/USD";"[""Gate.io"",""Synthetic""]";"Medicalchain";"US Dollar"
"MUE/BTC";"[""Bittrex""]";"MonetaryUnit";"Bitcoin"
"MUE/USD";"[""Synthetic""]";"MonetaryUnit";"US Dollar"
"MUSIC/USD";"[""Synthetic""]";"Musicoin";"US Dollar"
"MVL/BTC";"[""Upbit""]";"MVL";"Bitcoin"
"MVL/KRW";"[""Upbit""]";"MVL";"Korean Won"
"MVL/USD";"[""Synthetic""]";"MVL";"US Dollar"
"MWAT/BTC";"[""Kucoin""]";"Restart Energy MWAT";"Bitcoin"
"MWAT/ETH";"[""Kucoin""]";"Restart Energy MWAT";"Ethereum"
"MWAT/USD";"[""Synthetic""]";"Restart Energy MWAT";"US Dollar"
"MXM/USD";"[""Coinbene""]";"Maximine Coin";"US Dollar"
"MXT/BTC";"[""Crex24""]";"MarteXcoin";"Bitcoin"
"MXT/USD";"[""Synthetic""]";"MarteXcoin";"US Dollar"
"MYB/BTC";"[""ProBit Exchange""]";"MyBit";"Bitcoin"
"MYB/USD";"[""Synthetic""]";"MyBit Token";"US Dollar"
"MYST/BTC";"[""HitBTC""]";"Mysterium";"Bitcoin"
"MYST/ETH";"[""HitBTC""]";"Mysterium";"Ethereum"
"MYST/USD";"[""Synthetic""]";"Mysterium";"US Dollar"
"NAMO/USD";"[""Synthetic""]";"NamoCoin";"US Dollar"
"NANJ/ETH";"[""Mercatox""]";"NANJCOIN";"Ethereum"
"NANJ/USD";"[""Synthetic""]";"NANJCOIN";"US Dollar"
"NANO/BTC";"[""Binance"",""OKEx""]";"Nano";"Bitcoin"
"NANO/DOGE";"[""Mercatox""]";"Nano";"Dogecoin"
"NANO/ETH";"[""Binance"",""Huobi""]";"Nano";"Ethereum"
"NANO/EUR";"[""Kraken""]";"Nano";"Euro"
"NANO/USD";"[""Binance"",""OKEx""]";"Nano";"US Dollar"
"NANOX/BTC";"[""YoBit""]";"Project-X";"Bitcoin"
"NANOX/USD";"[""Synthetic""]";"Project-X";"US Dollar"
"NAS/BTC";"[""Binance"",""OKEx""]";"Nebulas";"Bitcoin"
"NAS/ETH";"[""Binance"",""Huobi""]";"Nebulas";"Ethereum"
"NAS/USD";"[""Huobi"",""OKEx""]";"Nebulas";"US Dollar"
"NAV/BTC";"[""Binance"",""Bittrex""]";"NAV Coin";"Bitcoin"
"NAV/USD";"[""Synthetic""]";"NavCoin";"US Dollar"
"NBIT/USD";"[""Synthetic""]";"netBit";"US Dollar"
"NBR/BTC";"[""Crex24"",""TradeOgre""]";"Niobio Cash";"Bitcoin"
"NBR/USD";"[""Synthetic""]";"Niobio Cash";"US Dollar"
"NCASH/BTC";"[""Huobi""]";"Nucleus Vision";"Bitcoin"
"NCASH/ETH";"[""Binance""]";"Nucleus Vision";"Ethereum"
"NCASH/USD";"[""Synthetic""]";"Nucleus Vision";"US Dollar"
"NEAR/BTC";"[""Binance"",""Huobi""]";"NEAR Protocol";"Bitcoin"
"NEAR/CAD";"[""Synthetic""]";"NEAR Protocol";"Canadian Dollar"
"NEAR/INR";"[""Bitbns""]";"NEAR Protocol";"Indian Rupee"
"NEAR/USD";"[""Binance"",""Huobi""]";"NEAR Protocol";"US Dollar"
"NEBL/BTC";"[""Binance"",""HitBTC""]";"Neblio";"Bitcoin"
"NEBL/ETH";"[""Binance"",""HitBTC""]";"Neblio";"Ethereum"
"NEBL/USD";"[""Synthetic""]";"Neblio";"US Dollar"
"NEC/USD";"[""Ethfinex""]";"Nectar";"US Dollar"
"NEO/AUD";"[""Synthetic""]";"NEO";"Australian Dollar"
"NEO/BNB";"[""Binance""]";"NEO";"Binance Coin"
"NEO/BTC";"[""Bibox"",""Binance"",""OKEx""]";"Neo";"Bitcoin"
"NEO/CAD";"[""Synthetic""]";"NEO";"Canadian Dollar"
"NEO/CNY";"[""Synthetic""]";"NEO";"Chinese Yuan"
"NEO/EOS";"[""HitBTC""]";"NEO";"EOS"
"NEO/ETH";"[""Bibox"",""Binance"",""BitMart""]";"NEO";"Ethereum"
"NEO/EUR";"[""Bitfinex"",""Bitpanda Pro"",""Synthetic""]";"Neo Euro";"Euro"
"NEO/GBP";"[""Bitfinex"",""CEX.IO""]";"Neo British Pound";"British Pound"
"NEOG/USD";"[""Synthetic""]";"NEO GOLD";"US Dollar"
"NEO/HKD";"[""Synthetic""]";"NEO";"Hong Kong Dollar"
"NEO/ILS";"[""Synthetic""]";"NEO";"Israeli Shekel"
"NEO/INR";"[""Bitbns"",""Synthetic""]";"NEO";"Indian Rupee"
"NEO/JPY";"[""Bitfinex""]";"NEO";"Japanese Yen"
"NEO/KCS";"[""Kucoin""]";"NEO";"KuCoin Shares"
"NEO/KRW";"[""Upbit""]";"NEO";"Korean Won"
"NEO/MXN";"[""Synthetic""]";"NEO";"Mexican Peso"
"NEO/MYR";"[""Synthetic""]";"NEO";"Malaysian Ringgit"
"NEO/PLN";"[""Synthetic""]";"NEO";"Polish Zloty"
"NEO/RUB";"[""Exmo"",""Synthetic""]";"NEO";"Russian Ruble"
"NEO/SAR";"[""Synthetic""]";"NEO";"Saudi Riyal"
"NEO/SEK";"[""Synthetic""]";"NEO";"Swedish Krona"
"NEOS/USD";"[""Synthetic""]";"NeosCoin";"US Dollar"
"NEO/THB";"[""Synthetic""]";"NEO";"Thai Baht"
"NEO/TRY";"[""Binance"",""Bitexen"",""BTCTurk"",""Paribu"",""Synthetic""]";"Neo";"Turkish Lira"
"NEO/USD";"[""Binance"",""OKEx""]";"NEO";"US Dollar"
"NEO/VND";"[""Synthetic""]";"NEO";"Vietnamese Dong"
"NEO/ZAR";"[""AltCoinTrader"",""Synthetic""]";"NEO";"South African Rand"
"NETKO/BTC";"[""YoBit""]";"Netko";"Bitcoin"
"NETKO/USD";"[""Synthetic""]";"Netko";"US Dollar"
"NET/USD";"[""Synthetic""]";"NetCoin";"US Dollar"
"NEU/BTC";"[""HitBTC""]";"Neumark";"Bitcoin"
"NEU/ETH";"[""HitBTC""]";"Neumark";"Ethereum"
"NEU/PLN";"[""BitBay""]";"Neumark";"Polish Zloty"
"NEU/USD";"[""HitBTC""]";"Neumark";"US Dollar"
"NEVA/BTC";"[""YoBit""]";"NevaCoin";"Bitcoin"
"NEVA/USD";"[""Synthetic""]";"NevaCoin";"US Dollar"
"NEWB/USD";"[""Synthetic""]";"Newbium";"US Dollar"
"NEXO/BTC";"[""HitBTC"",""Hotbit"",""Huobi"",""Mercatox""]";"Nexo";"Bitcoin"
"NEXO/ETH";"[""Hotbit"",""Huobi""]";"Nexo";"Ethereum"
"NEXO/USD";"[""Hotbit"",""Synthetic""]";"Nexo";"US Dollar"
"NEXO/XRP";"[""Bitrue""]";"Nexo";"XRP"
"NFT/USD";"[""Huobi"",""OKX""]";"APENFT";"US Dollar"
"NGC/BTC";"[""HitBTC""]";"NAGA";"Bitcoin"
"NGC/ETH";"[""HitBTC""]";"NAGA";"Ethereum"
"NGC/USD";"[""Synthetic""]";"NAGA";"US Dollar"
"NICASH/ETH";"[""LATOKEN""]";"Nicash";"Ethereum"
"NICASH/USD";"[""Synthetic""]";"Nicash";"US Dollar"
"NIM/BTC";"[""Hotbit""]";"Nimiq";"Bitcoin"
"NIM/ETH";"[""Hotbit""]";"Nimiq";"Ethereum"
"NIM/USD";"[""Hotbit"",""Synthetic""]";"Nimiq";"US Dollar"
"NKA/USD";"[""Synthetic""]";"IncaKoin";"US Dollar"
"NKN/USD";"[""Binance"",""Gate.io""]";"NKN";"US Dollar"
"NLC2/BTC";"[""YoBit""]";"NoLimitCoin";"Bitcoin"
"NLC2/USD";"[""Synthetic""]";"NoLimitCoin";"US Dollar"
"NLG/BTC";"[""Bittrex"",""YoBit""]";"Gulden";"Bitcoin"
"NLG/USD";"[""Synthetic""]";"Gulden";"US Dollar"
"NMC/BTC";"[""YoBit""]";"Namecoin";"Bitcoin"
"NMC/USD";"[""Synthetic""]";"Namecoin";"US Dollar"
"NMR/BTC";"[""Bittrex"",""Upbit""]";"Numeraire";"Bitcoin"
"NMR/USD";"[""Synthetic""]";"Numeraire";"US Dollar"
"NMS/USD";"[""Synthetic""]";"Numus";"US Dollar"
"NOAH/ETH";"[""Mercatox""]";"Noah Coin";"Ethereum"
"NOAH/USD";"[""Synthetic""]";"Noah Coin";"US Dollar"
"NOBL/USD";"[""Synthetic""]";"NobleCoin";"US Dollar"
"NODC/USD";"[""Synthetic""]";"NodeCoin";"US Dollar"
"NOTE/BTC";"[""Mercatox""]";"DNotes";"Bitcoin"
"NOTE/ETH";"[""Mercatox""]";"DNotes";"Ethereum"
"NOTE/USD";"[""Synthetic""]";"DNotes";"US Dollar"
"NPW/USD";"[""HCoin""]";"New Power Coin";"US Dollar"
"NPXS/BTC";"[""Bittrex""]";"Pundi X";"Bitcoin"
"NPXS/ETH";"[""Bittrex""]";"Pundi X[old]";"Ethereum"
"NPXS/USD";"[""Bittrex"",""Synthetic""]";"Pundi X";"US Dollar"
"NRG/BTC";"[""Kucoin""]";"Energi";"Bitcoin"
"NRG/USD";"[""Synthetic""]";"Energi";"US Dollar"
"NRO/USD";"[""Synthetic""]";"Neuro";"US Dollar"
"NSD/BTC";"[""Crex24"",""Mercatox""]";"Nasdacoin";"Bitcoin"
"NSD/ETH";"[""Crex24"",""Mercatox""]";"Nasdacoin";"Ethereum"
